episode,host,created_on,air_date,type,density,hands,motive,tailwind,industries,region,field,subject,tech,case_names,trigger_date,title,status
ep001,tokura,2026-08-08推定,2026-08-08,T1,balanced相当,OP04,none,TW1headwind,ゴルフ用品;オーラルケア;カラオケ,国内,生活消費,会社,低,ミズノJPX ONE;ガム・プレミアム;VSING,2026-01〜03(旧基準),物差しを逆さに持て,archived_旧鮮度基準
ep002,misaki,2026-08-08,2026-08-08,T1,dense,OP11,none,TW1,人事労務;対策サービス;保険,国内,制度公共,制度,低,カスハラ対策義務化,2026-07-20,施行日は開店日,ready
ep003,tokura,2026-08-09,2026-08-09,T1,balanced,OP05+OP14味,MO4,TW5,バイク用品;アパレル;調査,国内,生活消費,会社,中,ナップス;三陽商会;電通×unerry,2026-07-14,時間をずらす,ready
ep004,misaki,2026-08-09,2026-08-10想定,T1,balanced,OP03,none,none(向かい風=コスト高),イベント;地域;飲料,国内,制度公共,会社,低,いたばし;八王子;鎌倉;キリン晴れ風,2026-08-07,払う人を変える,in_review
ep005,tokura,2026-08-09,2026-08-11想定,T1,narrative,OP02味,MO1+MO2,none,アートライセンス;福祉;老舗百貨店,国内,生活消費,人,低,ヘラルボニー;和光,2026-08-06,当事者だった,in_review
ep006,misaki,2026-08-09推定,2026-08-12想定,T1,balanced,OP01+OP10味,none,TW4+TW1味,エネルギー;素材;化学,国内,技術研究,会社,高,ペロブスカイト太陽電池;積水化学SOLAFIL,2026-07(GCL参入・出来事),断られた理由を引く,in_review
ep007,tokura,2026-08-09,2026-08-13想定,T1,balanced,OP12+OP08,none,TW2,自動運転;ソフトウェア;自動車,国内,技術研究,会社,高,ティアフォー;Autoware,2026-07-22,中核を開いて周りで稼ぐ,in_review
ep008,misaki,2026-08-09,2026-08-14想定,T1,balanced(15分拡大版),OP07+OP06,none,TW5,家具;家電;物流,国内,生活消費,会社,中,クラス;CIRCLE,2026-07-28,返ってくる前提で分けておく,in_review
ep009,tokura,2026-08-12,2026-08-17想定,T1,balanced,OP13+OP14味,none,TW3,メディア;広告;食品小売,国内,メディア金融,会社,中,エブリー;DELISH KITCHEN;retail HUB,2026-08-04,ネットの当たり前を売場に持ち込む,in_review
ep010,misaki,2026-08-13,2026-08-18想定,T1,narrative,OP05,MO4,TW1,福利厚生;食品流通;オフィスサービス,国内,産業BtoB,人,低,KOMPEITO;OFFICE DE YASAI,2026-08-12,商品より先に売り場を動かす,in_review
ep011,tokura,2026-08-13,2026-08-19想定,T4,dense,—,none,none,食品;日用品;統計,国内,生活消費,統計,低,帝国データバンク 食品主要195社 価格改定動向調査,2026-07-31,理由の欄から読む,in_review
ep012,misaki,2026-08-13,2026-08-20想定,T1,balanced,OP09,none,none,機械部品;鉱山・砕石;環境設備,国内,産業BtoB,会社,低,JRC;ベルトコンベヤ部品,2026-07-15,交換される側を握る,in_review
ep013,tokura,2026-08-13,2026-08-21想定,T1,balanced,OP06,MO3,none,食品流通;EC;社会貢献,国内,生活消費,会社,低,クラダシ;Kuradashi;3分の1ルール,2026-08-13,商習慣が捨てる物を拾う,in_review
ep014,misaki,2026-08-14,2026-08-24想定,T1,balanced,OP10+OP06味,none,TW4,食品;電子材料;半導体,国内,技術研究,会社,中,味の素;ABF;味の素ファインテクノ,2026-08-06,乗り換えの瞬間を待つ,in_review
ep015,tokura,2026-08-14,2026-08-25想定,T2,balanced,OP08,none,TW3,決済;金融;飲食,国内,メディア金融,会社,低,全東信;早期決済代行;TDB倒産集計7月,2026-08-10,止まる日を先に描く,in_review
ep016,misaki,2026-08-14,2026-08-26想定,T5,balanced,—,none,TW1,鉄鋼;エネルギー;自動車,国内,技術研究,会社,高,JFEスチール;グリーン水素還元鉄;JGreeX,2026-07-31,値差を埋める人から売る,in_review
ep017,tokura,2026-08-14,2026-08-27想定,T1,balanced,OP03,none,TW5,観光;自治体;宿泊,国内,制度公共,制度,低,宿泊税ラッシュ;法定外目的税,2026-08-04,一回ごとに薄く値札を貼る,in_review
ep018,misaki,2026-08-14,2026-08-28想定,T4,dense,—,none,TW2,農林水産;食品;貿易,国内,生活消費,統計,低,農水省 上半期輸出実績;緑茶;ブリ;米,2026-08-04,伸びた金額を単価と数量に割る,in_review
ep019,tokura,2026-08-14,2026-08-31想定,T1,balanced,OP07+OP13味,MO4,TW3,不動産;ホテル;モビリティ,国内,生活消費,人,中,NOT A HOTEL;NOT A GARAGE,2026-08-06,売ってから建てる,in_review
ep020,misaki,2026-08-15,2026-09-01想定,T1,balanced,OP02,none,TW4,ポンプ;半導体装置;機械,国内,産業BtoB,会社,中,荏原製作所;CMP;ドライ真空ポンプ,2026-08-14,古い技術に新しい市場を足す,in_review
ep021,tokura,2026-08-15,2026-09-02想定,T1,narrative,OP14,MO7+MO1,TW3,音楽;コンテンツ配信;プラットフォーム,国内,メディア金融,人,中,オーディオストック;Audiostock,2026-08-14,作品を素材に変える,in_review
ep022,misaki,2026-08-15,2026-09-03想定,T2,balanced,OP11,none,TW3,ゲーム;VR;エンタメ,国内,メディア金融,会社,中,オッドナンバー;イグニス;パルス,2026-08-13,冒険と財布を切り離さない,in_review
ep023,tokura,2026-08-15,2026-09-04想定,T1,balanced,OP03,none,TW1,ビール;飲料;税制,国内,制度公共,制度,低,酒税一本化;本麒麟;新ジャンル,2026-07-29,隙間が閉じる前に引っ越す,in_review
ep024,misaki,2026-08-15,2026-09-07想定,T1,balanced,OP08,none,TW4,エネルギー;IoT;金融リース,国内,技術研究,会社,高,Shizen Connect;VPP;三菱HCキャピタル,2026-08-14,束ねて発電所にする,in_review
sp001,tokura,2026-08-15,未定（特別編）,T6,balanced,OP08+OP12,none,TW3,物流;家電量販;SaaS,国内,産業BtoB,会社,低,サッポロ×キリン共同配送;家電製販の共同物流構想;ROBOT PAYMENT×ラクス,2026-08-12,競争しない場所を先に決める,in_review
sp002,tokura,2026-08-15,未定（特別編）,T6,balanced,OP03,none,TW1,制度;SI;金融決済,国内,制度公共,制度,中,GX-ETS排出量取引;コムチュア中期経営計画;円建てステーブルコイン,2026-08-14,値札の場所を動かす,in_review
sp003,tokura,2026-08-15,未定（特別編）,T6,balanced,OP11,none,TW4,自動車部品;SaaS;出版,国内,メディア金融,会社,中,日本特殊陶業の自社工場実証;ナレッジワーク×リコージャパン;集英社マンガミリオン,2026-08-06,最初の客を外に探しに行かない,in_review
ep025,tokura,2026-08-16,2026-09-08想定,T1,balanced,OP03,none,TW1,包装;通販;規制対応,海外,制度公共,制度,低,EU包装規則PPWR;オンラインマーケットプレイス;登録代行,2026-08-12,確かめる人を入れ替える,in_review
ep026,misaki,2026-08-16,2026-09-09想定,T1,balanced,OP09,none,TW3,航空;部品流通;整備,海外,産業BtoB,会社,中,VSE;航空アフターマーケット;PAG買収,2026-08-05,絞ってから大きくする,in_review
ep027,tokura,2026-08-16,2026-09-10想定,T1,narrative,OP01,MO1,TW4,ロボット;製造;上場,海外,技術研究,人,高,Unitree;宇樹科技;STAR Market上場,2026-08-10,一桁安い版を先に出す,in_review
ep028,misaki,2026-08-16,2026-09-11想定,T1,balanced,OP06,MO1,none,ソフトウェア;買収;ネットサービス,海外,メディア金融,会社,中,Bending Spoons;Evernote;AOL;Airtable買収,2026-08-13,当たりをあとから買う,in_review
ep029,tokura,2026-08-16,2026-09-14想定,T1,narrative,OP13+OP06味,MO4,none,教育;アプリ;ゲーム,海外,生活消費,人,中,Duolingo;reCAPTCHA;Q2決算,2026-08-05,ゲームの当たり前を宿題に持ち込む,in_review
ep030,misaki,2026-08-18,2026-09-15想定,T1,balanced,OP13,none,TW3,化粧品;小売;メディア,国内,生活消費,会社,中,アイスタイル;アットコスメ;Amazon提携,2026-08-13,ネットの当たり前を棚に翻訳する,in_review
ep031,tokura,2026-08-18,2026-09-16想定,T1,balanced,OP06,none,TW1,廃棄物;素材;リサイクル,国内,産業BtoB,会社,中,リファインバース;REAMIDE;再生樹脂,2026-08-14,仕入れ値をマイナスにする,in_review
ep032,misaki,2026-08-19,2026-09-17想定,T4,dense,—,none,TW5,洋菓子;小売;食品,国内,生活消費,統計,低,ケーキ菓子店の倒産最多;TSR調査,2026-08-11,値上げの天井を先に測る,in_review
ep033,tokura,2026-08-19,2026-09-18想定,T5,balanced,—,none,none,宇宙;探査;製造,国内,技術研究,制度,高,JAXA;MMX;フォボス;機体公開,2026-08-13,モノより先に権利と実績を売る,in_review
ep034,misaki,2026-08-19,2026-09-21想定,T1,balanced,OP03,none,TW3,広告;ポイントサービス;アプリ,国内,メディア金融,会社,中,Skyfall;SKYFLAG;上場承認,2026-08-17,広告費を客の報酬に付け替える,in_review
ep035,tokura,2026-08-20,2026-09-22想定,T1,narrative,OP06,MO7+MO3味,none,駐車場;シェアリング;不動産,国内,生活消費,人,低,akippa;上場承認,2026-08-18,困りごとを二百個書き出す,in_review
ep036,misaki,2026-08-20,2026-09-24想定,T1,balanced,OP11,none,TW1,人事労務;接客;BPO,国内,制度公共,制度,低,カスハラ対策義務化;マイナビ調査,2026-08-19,線を引くと道具が売れる,in_review
ep037,tokura,2026-08-20,2026-09-25想定,T1,balanced,OP14,none,TW4,SaaS;業務管理;AI,海外,メディア金融,会社,中,monday.com;AIクレジット;Q2決算,2026-08-10,数える単位を取り替える,in_review
sp004,tokura,2026-08-23,未定（特別編）,T8,balanced,OP14+OP07+OP06,none,none,SaaS;不動産;リサイクル;食品EC;駐車場,国内,産業BtoB,会社,低,総集編40本;数える単位;順番;仕入れる場所,2026-08-18,三つの場所からひとつ選ぶ,in_review
